danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
0.738,0.794,11,-4.118,0,0.0416,0.101,0.0,0.0533,0.566,104.014,audio_features,7jEyX4bqaCSdMN4D4JNnVj,spotify:track:7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/tracks/7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/audio-analysis/7jEyX4bqaCSdMN4D4JNnVj,184134,4
0.548,0.65,8,-5.827,0,0.0591,0.219,0.0,0.225,0.557,144.937,audio_features,3A7qX2QjDlPnazUsRk5y0M,spotify:track:3A7qX2QjDlPnazUsRk5y0M,https://api.spotify.com/v1/tracks/3A7qX2QjDlPnazUsRk5y0M,https://api.spotify.com/v1/audio-analysis/3A7qX2QjDlPnazUsRk5y0M,194897,4
0.708,0.825,1,-5.966,1,0.0848,0.18,0.0,0.123,0.792,91.989,audio_features,78sTbeK0MCu22SavvORtvV,spotify:track:78sTbeK0MCu22SavvORtvV,https://api.spotify.com/v1/tracks/78sTbeK0MCu22SavvORtvV,https://api.spotify.com/v1/audio-analysis/78sTbeK0MCu22SavvORtvV,237997,4
0.674,0.578,10,-5.804,1,0.0408,0.331,0.0,0.135,0.34,145.07,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
0.749,0.604,0,-5.689,0,0.0468,0.0248,0.0,0.0596,0.432,110.015,audio_features,0KCRkNV01nSKnQ0j9wSCcM,spotify:track:0KCRkNV01nSKnQ0j9wSCcM,https://api.spotify.com/v1/tracks/0KCRkNV01nSKnQ0j9wSCcM,https://api.spotify.com/v1/audio-analysis/0KCRkNV01nSKnQ0j9wSCcM,174531,4
0.6,0.725,6,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,102.056,audio_features,4hQ6UGyWQIGJmHSo0J88JW,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,207905,4
0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,audio_features,5cF0dROlMOK5uNZtivgu50,spotify:track:5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,208787,4
0.69,0.876,2,-4.159,1,0.059,0.0428,0.0,0.147,0.493,123.994,audio_features,3b5Li4QKDVBx1x7fQuu54a,spotify:track:3b5Li4QKDVBx1x7fQuu54a,https://api.spotify.com/v1/tracks/3b5Li4QKDVBx1x7fQuu54a,https://api.spotify.com/v1/audio-analysis/3b5Li4QKDVBx1x7fQuu54a,192112,4
0.474,0.622,4,-6.381,0,0.061,0.0129,3.82e-06,0.327,0.158,176.062,audio_features,1tfVpMI8G6EakZU4rEja4w,spotify:track:1tfVpMI8G6EakZU4rEja4w,https://api.spotify.com/v1/tracks/1tfVpMI8G6EakZU4rEja4w,https://api.spotify.com/v1/audio-analysis/1tfVpMI8G6EakZU4rEja4w,187800,4
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
0.456,0.643,0,-4.139,1,0.272,0.0479,0.0,0.101,0.641,86.54,audio_features,7qVjoGvjdOFfk3uKVhvZU9,spotify:track:7qVjoGvjdOFfk3uKVhvZU9,https://api.spotify.com/v1/tracks/7qVjoGvjdOFfk3uKVhvZU9,https://api.spotify.com/v1/audio-analysis/7qVjoGvjdOFfk3uKVhvZU9,219460,4
0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.5,92.946,audio_features,6xsGllAEwkmF4SSDwdpmMt,spotify:track:6xsGllAEwkmF4SSDwdpmMt,https://api.spotify.com/v1/tracks/6xsGllAEwkmF4SSDwdpmMt,https://api.spotify.com/v1/audio-analysis/6xsGllAEwkmF4SSDwdpmMt,185352,4
