danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.505,0.382,7,-11.801,1,0.0365,0.707,0.0,0.226,0.426,144.107,audio_features,3OwMeSa4IU0qd5xfI19xSc,spotify:track:3OwMeSa4IU0qd5xfI19xSc,https://api.spotify.com/v1/tracks/3OwMeSa4IU0qd5xfI19xSc,https://api.spotify.com/v1/audio-analysis/3OwMeSa4IU0qd5xfI19xSc,151250,4
0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,audio_features,3iw6V4LH7yPj1ESORX9RIN,spotify:track:3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/tracks/3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/audio-analysis/3iw6V4LH7yPj1ESORX9RIN,116750,4
0.538,0.646,3,-7.187,1,0.05,0.308,0.0,0.196,0.288,128.045,audio_features,3kHDA43cBTx63KEZm7M8rq,spotify:track:3kHDA43cBTx63KEZm7M8rq,https://api.spotify.com/v1/tracks/3kHDA43cBTx63KEZm7M8rq,https://api.spotify.com/v1/audio-analysis/3kHDA43cBTx63KEZm7M8rq,277292,4
0.611,0.469,6,-5.178,1,0.029,0.373,0.0,0.123,0.169,140.014,audio_features,5EwbUYagUqwrblvK7FzZm5,spotify:track:5EwbUYagUqwrblvK7FzZm5,https://api.spotify.com/v1/tracks/5EwbUYagUqwrblvK7FzZm5,https://api.spotify.com/v1/audio-analysis/5EwbUYagUqwrblvK7FzZm5,223334,4
0.843,0.9,5,-4.602,0,0.0375,0.31,3.09e-05,0.0576,0.89,108.015,audio_features,6CCV7FeYgEQ7Ekbes6B36Q,spotify:track:6CCV7FeYgEQ7Ekbes6B36Q,https://api.spotify.com/v1/tracks/6CCV7FeYgEQ7Ekbes6B36Q,https://api.spotify.com/v1/audio-analysis/6CCV7FeYgEQ7Ekbes6B36Q,325034,4
0.779,0.541,0,-6.824,1,0.0658,0.566,0.0,0.13,0.447,124.939,audio_features,6V1bu6o1Yo5ZXnsCJU8Ovk,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,https://api.spotify.com/v1/tracks/6V1bu6o1Yo5ZXnsCJU8Ovk,https://api.spotify.com/v1/audio-analysis/6V1bu6o1Yo5ZXnsCJU8Ovk,235545,4
0.708,0.825,1,-5.966,1,0.0848,0.18,0.0,0.123,0.792,91.989,audio_features,78sTbeK0MCu22SavvORtvV,spotify:track:78sTbeK0MCu22SavvORtvV,https://api.spotify.com/v1/tracks/78sTbeK0MCu22SavvORtvV,https://api.spotify.com/v1/audio-analysis/78sTbeK0MCu22SavvORtvV,237997,4
0.836,0.629,9,-7.812,0,0.0788,0.359,3.01e-05,0.101,0.801,115.048,audio_features,7CDP4uXu6mkBDzaTOx9yTS,spotify:track:7CDP4uXu6mkBDzaTOx9yTS,https://api.spotify.com/v1/tracks/7CDP4uXu6mkBDzaTOx9yTS,https://api.spotify.com/v1/audio-analysis/7CDP4uXu6mkBDzaTOx9yTS,277760,4
0.674,0.578,10,-5.804,1,0.0408,0.331,0.0,0.135,0.34,145.07,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965,audio_features,7fyiYhn7STpHvT5g0lbncC,spotify:track:7fyiYhn7STpHvT5g0lbncC,https://api.spotify.com/v1/tracks/7fyiYhn7STpHvT5g0lbncC,https://api.spotify.com/v1/audio-analysis/7fyiYhn7STpHvT5g0lbncC,274687,4
0.616,0.968,2,-4.679,1,0.169,0.00678,0.0,0.299,0.462,140.017,audio_features,0977RIpx48YoVCzXszQc0D,spotify:track:0977RIpx48YoVCzXszQc0D,https://api.spotify.com/v1/tracks/0977RIpx48YoVCzXszQc0D,https://api.spotify.com/v1/audio-analysis/0977RIpx48YoVCzXszQc0D,131133,4
0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,audio_features,1UWacd8x8tPPwmrPB1MoBI,spotify:track:1UWacd8x8tPPwmrPB1MoBI,https://api.spotify.com/v1/tracks/1UWacd8x8tPPwmrPB1MoBI,https://api.spotify.com/v1/audio-analysis/1UWacd8x8tPPwmrPB1MoBI,269032,4
0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,audio_features,1almCHdsfikRPfVB9VrEdT,spotify:track:1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/tracks/1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/audio-analysis/1almCHdsfikRPfVB9VrEdT,185200,4
0.771,0.915,5,-5.501,0,0.188,0.286,0.0,0.0983,0.659,123.877,audio_features,3F7pBlPDi2jfr7f6NoeXeL,spotify:track:3F7pBlPDi2jfr7f6NoeXeL,https://api.spotify.com/v1/tracks/3F7pBlPDi2jfr7f6NoeXeL,https://api.spotify.com/v1/audio-analysis/3F7pBlPDi2jfr7f6NoeXeL,249798,4
0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,audio_features,3P3pw6C19j31Rnzgo3JG7o,spotify:track:3P3pw6C19j31Rnzgo3JG7o,https://api.spotify.com/v1/tracks/3P3pw6C19j31Rnzgo3JG7o,https://api.spotify.com/v1/audio-analysis/3P3pw6C19j31Rnzgo3JG7o,196613,4
0.577,0.805,5,-0.553,1,0.0398,0.662,0.0,0.201,0.347,77.094,audio_features,3ZBTv0pKvJ6YId7ozxW4Uv,spotify:track:3ZBTv0pKvJ6YId7ozxW4Uv,https://api.spotify.com/v1/tracks/3ZBTv0pKvJ6YId7ozxW4Uv,https://api.spotify.com/v1/audio-analysis/3ZBTv0pKvJ6YId7ozxW4Uv,331385,4
0.678,0.771,6,-2.849,1,0.0266,0.0277,0.00253,0.149,0.462,105.976,audio_features,3s6H6UW7yPu2rsF8CGki60,spotify:track:3s6H6UW7yPu2rsF8CGki60,https://api.spotify.com/v1/tracks/3s6H6UW7yPu2rsF8CGki60,https://api.spotify.com/v1/audio-analysis/3s6H6UW7yPu2rsF8CGki60,253200,4
